gbifapi_acceptedScientificName;gbifapi_acceptedKey;Batch
Baccharis halimifolia L.;3129663;1
Cabomba caroliniana A. Gray;2882443;1
Callosciurus erythraeus (Pallas, 1779);2437394;1
Corvus splendens Vieillot, 1817;2482499;1
Eichhornia crassipes (Mart.) Solms;2765940;1
Eriocheir sinensis H. Milne Edwards, 1853;2225776;1
Heracleum persicum Desf.;3628745;1
Heracleum sosnowskyi Manden.;3642949;1
Herpestes javanicus;2434271;1
Hydrocotyle ranunculoides L. fil.;7978544;1
Lagarosiphon major (Ridl.) Moss;2865565;1
Lithobates catesbeianus (Shaw, 1802);2427091;1
Ludwigia grandiflora (Michaux) Greuter & Burdet;5421039;1
Ludwigia peploides (Kunth) P. H. Raven;5420991;1
Lysichiton americanus Hult√©n & H.St.John;2869311;1
Muntiacus reevesi (Ogilby, 1839);2440946;1
Myocastor coypus (Molina, 1782);4264680;1
Myriophyllum aquaticum (Vellozo) Verdcourt;5361785;1
Nasua nasua (Linnaeus, 1766);2433536;1
Orconectes limosus (Rafinesque, 1817);2227000;1
Orconectes virilis (Hagen, 1870);2227064;1
Oxyura jamaicensis (Gmelin, 1789);2498305;1
Pacifastacus leniusculus (Dana, 1852);2226990;1
Parthenium hysterophorus L.;3086784;1
Perccottus glenii Dybowski, 1877;2390064;1
Procambarus clarkii (Girard, 1852);2227300;1
Procambarus fallax (Hagen, 1870);2227309;1
Procyon lotor (Linnaeus, 1758);5218786;1
Pseudorasbora parva (Temminck & Schlegel, 1846);2362868;1
Pueraria montana (Lour.) Merr.;2977636;1
Pueraria montana var. lobata (Willd.) Sanjappa & Pradeep;2977647;1
Sciurus carolinensis Gmelin, 1788;5219681;1
Sciurus niger Linnaeus, 1758;5219683;1
Tamias sibiricus (Laxmann, 1769);2437450;1
Threskiornis aethiopicus (Latham, 1790);2480764;1
Trachemys Agassiz, 1857;2442941;1
Vespa velutina Lepeletier, 1836;1311477;1
Persicaria perfoliata (L.) H.Gross;4033648;1
Faxonius limosus†(Rafinesque, 1817);8909595;1
Alopochen aegyptiaca (Linnaeus, 1766);2498252;2
Alternanthera philoxeroides (Mart.) Griseb.;3084923;2
Asclepias syriaca L.;3170247;2
Elodea nuttallii (Planch.) H.St.John;5329212;2
Gunnera tinctoria (Molina) Mirbel;2984306;2
Heracleum mantegazzianum Sommier & Levier;3034825;2
Impatiens glandulifera Royle;2891770;2
Myriophyllum heterophyllum Michx.;5361762;2
Nyctereutes procyonoides (Gray, 1834);2434552;2
Ondatra zibethicus (Linnaeus, 1766);5219858;2
Pennisetum setaceum (Forssk.) Chiov.;2706134;2
Microstegium vimineum (Trin.) A.Camus;5289808;2
Lepomis gibbosus (Linnaeus, 1758);2394486;3
Acacia saligna (Labill.) H.L.Wendl.;2978552;3
Acacia cyanophylla Lindl.;2980328;3
Acridotheres tristis Linnaeus, 1766;2489005;3
Ailanthus altissima (Mill.) Swingle;3190653;3
Andropogon virginicus L.;2706080;3
Arthurdendyus triangulatus (Dendy, 1895);2502792;3
Cardiospermum grandiflorum Sw.;3189935;3
Cortaderia jubata (Lemoine ex Carri√®re) Stapf;2704521;3
Ehrharta calycina Sm.;2702865;3
Gymnocoronis spilanthoides DC.;6063677;3
Humulus scandens (Lour.) Merr.;2984537;3
Lespedeza cuneata (Dum.Cours.) G.Don;8114276;3
Lespedeza juncea var. sericea (Thunb.) Lace & Hauech;2955720;3
Lygodium japonicum (Thunb.) Sw.;2650436;3
Plotosus lineatus (Thunberg, 1787);7965247;3
Prosopis juliflora (Sw.) DC.;5358460;3
Salvinia molesta D.Mitch.;5274863;3
Salvinia adnata Desv.;5579439;3
Triadica sebifera Small;3054399;3
Sapium sebiferum (L.) Roxb.;7748792;3
Salvinia auriculata Aubl.;5274861;3
Salvinia Seg.;7801597;3
Procambarus acutus (Girard, 1852);2227289;NA
Procambarus virginalis Lyko, 2017;9442269;NA
Acer negundo L.;3189866;NA
Ameiurus melas (Rafinesque, 1820);2340977;NA
Bison bison (Linnaeus, 1758);2441176;NA
Caprella mutica Schurin, 1935;5178057;NA
Castor canadensis Kuhl, 1820;2439838;NA
Celastrus orbiculatus C.P. Thunberg ex A. Murray;8104460;NA
Cotoneaster acutifolius var. lucidus (Schltdl.) L. T. Lu;3026061;NA
Cotoneaster acutifolius var. villosulus Rehd. & E.H. Wilson;3025565;NA
Cotoneaster ambiguus Rehd. & E.H. Wilson;3025858;NA
Cotoneaster ascendens Flinck & B. Hylm√∂;3026024;NA
Cotoneaster bullatus Bois in Bilm. & Bois;3026294;NA
Cotoneaster bullatus var. floribundus (Stapf) L. T. Lu & A. R. Brach;3026295;NA
Cotoneaster bullatus var. macrophyllus Rehder & E. H. Wilson;3026161;NA
Cotoneaster conspicuus H. F. Comber ex C. Marquand;3025875;NA
Cotoneaster coriaceus Franch.;3026035;NA
Cotoneaster dammeri C.K. Schneid.;3026049;NA
Cotoneaster dielsianus E. Pritz.;3025896;NA
Cotoneaster divaricatus Rehd. & E.H. Wilson;3026334;NA
Cotoneaster fangianus T.T. Yu;3025932;NA
Cotoneaster franchetii Boiss.;3026162;NA
Cotoneaster hjelmqvistii K.E. Flinck & B. Hylm√∂;3026092;NA
Cotoneaster horizontalis Decne;3025617;NA
Cotoneaster integrifolius (Lindl.) Koehne;7671502;NA
Cotoneaster mairei;3025944;NA
Cotoneaster moupinensis Franch.;3025731;NA
Cotoneaster nanshan Mottet;3025935;NA
Cotoneaster qungbixiensis J.Fryer & B.Hylm√∂;3025907;NA
Cotoneaster salicifolius Franch.;3026074;NA
Cotoneaster salicifolius var. rugosus (E. Pritz.) Rehd. & E.H. Wilson;3026076;NA
Cotoneaster simonsii Baker;3026107;NA
Cotoneaster zabelii C.K. Schneid.;3025605;NA
Cotoneaster √ósuecicus G. Klotz;3026040;NA
Cotoneaster √ówatereri Exell;3026004;NA
Crassula helmsii (Kirk) A. Berger;8035075;NA
Crepidula fornicata (Linnaeus, 1758);5192789;NA
Didemnum vexillum Romanov, 1989;2329770;NA
Euthamia graminifolia (L.) Nutt.;3092782;NA
Fraxinus pennsylvanica Marshall;3172348;NA
Gaillardia grandiflora Hort. ex Van Houtte;5387817;NA
Gunnera manicata Linden;8078925;NA
Homarus americanus H. Milne Edwards, 1837;5972004;NA
Hyacinthoides hispanica (Mill.) Rothm.;5304257;NA
Impatiens balfourii Hook. fil.;2891783;NA
Impatiens capensis Meerb.;2891774;NA
Impatiens edgeworthii Hook. fil.;4936345;NA
Lupinus polyphyllus Lindl.;2964355;NA
Lysichiton camtschatcensis (L.) Schott;2869301;NA
Micropterus dolomieu Lacep√®de, 1802;5211250;NA
Microstegium vimineum (Trin.) A.Camus;5289808;NA
Neovison vison (Schreber, 1777);2433652;NA
Oenothera affinis Camb.;3188847;NA
Oenothera angustissima Gates;3188889;NA
Oenothera biennis L.;3188924;NA
Oenothera cambrica K. Rostanski;7322292;NA
Oenothera curtiflora W.L.Wagner & Hoch;3667406;NA
Oenothera deflexa Gates;7322773;NA
Oenothera elata Kunth;3188829;NA
Oenothera fallax Renner;7915783;NA
Oenothera fruticosa subsp. glauca (Michx.) Straley;8637919;NA
Oenothera glazioviana M. Micheli;3188894;NA
Oenothera indecora Camb.;7322393;NA
Oenothera issleri Renn. ex Rostanski;7322373;NA
Oenothera laciniata Hill;3188867;NA
Oenothera lindheimeri (Engelm. & A.Gray) W.L.Wagner & Hoch;3664589;NA
Oenothera nuda Renner ex Rostanski;3667628;NA
Oenothera oakesiana (A. Gray) S. Watson;3188884;NA
Oenothera oehlkersii A. Kappus;8153538;NA
Oenothera paradoxa Hudziok;3667238;NA
Oenothera parviflora L.;3188833;NA
Oenothera perangusta Gates;7322738;NA
Oenothera perennis L.;3188838;NA
Oenothera pycnocarpa Atkinson & Bartlett;3188926;NA
Oenothera rosea Aiton;3188875;NA
Oenothera royfraseri R.R.Gates;3665940;NA
Oenothera rubricaulis Klebahn;7322529;NA
Oenothera rubricauloides Rostanski;3665817;NA
Oenothera speciosa Nutt.;3188859;NA
Oenothera stricta Ledeb. ex Link;3188830;NA
Oenothera subterminalis R.R.Gates;3664677;NA
Oenothera victorinii Gates & Catcheside;7322143;NA
Oenothera wratislaviensis Rostanski;3667721;NA
Parthenocissus quinquefolia (L.) Planchon;3039194;NA
Parthenocissus tricuspidata (Siebold & Zucc.) Planchon;3039209;NA
Parthenocissus vitacea (Knerr) A.S. Hitchc.;3039193;NA
Pontederia cordata L.;2766030;NA
Rapana venosa (Valenciennes, 1846);4363583;NA
Reynoutria bohemica J. Chrtek & A. Chrtkov√°;4038485;NA
Sagittaria latifolia Willd.;5328909;NA
Sargassum muticum (Yendo) Fensholt, 1955;3197314;NA
Sarracenia purpurea L.;5421389;NA
Sicyos angulatus L.;2874655;NA
Solanum eleagnifolium;7299960;NA
Spartina pectinata Bosc ex Link;5290030;NA
Spartina townsendii H.Groves & J.Groves;5290034;NA
Spiraea salicifolia L.;3026454;NA
Spiraea tomentosa L.;3026819;NA
Spiraea √ópseudosalicifolia Silverside;3026444;NA
Symphyotrichum salignum (Willd.) G.L.Nesom;3151811;NA
Truellum perfoliatum (L.) Soj√°k;4037171;NA
Vallisneria spiralis L.;2865526;NA
