gbifapi_acceptedScientificName;gbifapi_acceptedKey;Batch;Bram
Trachemys scripta (Thunberg In Schoepff, 1792);2443002;NA;new_1
Baccharis halimifolia L.;3129663;1;ok
Cabomba caroliniana A. Gray;2882443;1;ok
Callosciurus erythraeus (Pallas, 1779);2437394;1;ok
Corvus splendens Vieillot, 1817;2482499;1;ok
Eichhornia crassipes (Mart.) Solms;2765940;1;ok
Eriocheir sinensis H. Milne Edwards, 1853;2225776;1;ok
Faxonius limosus†(Rafinesque, 1817);8909595;1;ok
Heracleum persicum Desf.;3628745;1;ok
Heracleum sosnowskyi Manden.;3642949;1;ok
Herpestes javanicus;2434271;1;ok
Hydrocotyle ranunculoides L. fil.;7978544;1;ok
Lagarosiphon major (Ridl.) Moss;2865565;1;ok
Lithobates catesbeianus (Shaw, 1802);2427091;1;ok
Ludwigia grandiflora (Michaux) Greuter & Burdet;5421039;1;ok
Ludwigia peploides (Kunth) P. H. Raven;5420991;1;ok
Lysichiton americanus Hult√©n & H.St.John;2869311;1;ok
Muntiacus reevesi (Ogilby, 1839);2440946;1;ok
Myocastor coypus (Molina, 1782);4264680;1;ok
Myriophyllum aquaticum (Vellozo) Verdcourt;5361785;1;ok
Nasua nasua (Linnaeus, 1766);2433536;1;ok
Orconectes limosus (Rafinesque, 1817);2227000;1;ok
Orconectes virilis (Hagen, 1870);2227064;1;ok
Oxyura jamaicensis (Gmelin, 1789);2498305;1;ok
Pacifastacus leniusculus (Dana, 1852);2226990;1;ok
Parthenium hysterophorus L.;3086784;1;ok
Perccottus glenii Dybowski, 1877;2390064;1;ok
Persicaria perfoliata (L.) H.Gross;4033648;1;ok
Procambarus clarkii (Girard, 1852);2227300;1;ok
Procambarus fallax (Hagen, 1870);2227309;1;ok
Procyon lotor (Linnaeus, 1758);5218786;1;ok
Pseudorasbora parva (Temminck & Schlegel, 1846);2362868;1;ok
Pueraria montana (Lour.) Merr.;2977636;1;ok
Pueraria montana var. lobata (Willd.) Sanjappa & Pradeep;2977647;1;ok
Sciurus carolinensis Gmelin, 1788;5219681;1;ok
Sciurus niger Linnaeus, 1758;5219683;1;ok
Tamias sibiricus (Laxmann, 1769);2437450;1;ok
Threskiornis aethiopicus (Latham, 1790);2480764;1;ok
Vespa velutina Lepeletier, 1836;1311477;1;ok
Trachemys Agassiz, 1857;2442941;1;td
Alopochen aegyptiaca (Linnaeus, 1766);2498252;2;ok
Alternanthera philoxeroides (Mart.) Griseb.;3084923;2;ok
Asclepias syriaca L.;3170247;2;ok
Elodea nuttallii (Planch.) H.St.John;5329212;2;ok
Gunnera tinctoria (Molina) Mirbel;2984306;2;ok
Heracleum mantegazzianum Sommier & Levier;3034825;2;ok
Impatiens glandulifera Royle;2891770;2;ok
Microstegium vimineum (Trin.) A.Camus;5289808;2;ok
Myriophyllum heterophyllum Michx.;5361762;2;ok
Nyctereutes procyonoides (Gray, 1834);2434552;2;ok
Ondatra zibethicus (Linnaeus, 1766);5219858;2;ok
Pennisetum setaceum (Forssk.) Chiov.;2706134;2;ok
Acacia cyanophylla Lindl.;2980328;3;ok
Acacia saligna (Labill.) H.L.Wendl.;2978552;3;ok
Acridotheres tristis Linnaeus, 1766;2489005;3;ok
Ailanthus altissima (Mill.) Swingle;3190653;3;ok
Andropogon virginicus L.;2706080;3;ok
Arthurdendyus triangulatus (Dendy, 1895);2502792;3;ok
Cardiospermum grandiflorum Sw.;3189935;3;ok
Cortaderia jubata (Lemoine ex Carri√®re) Stapf;2704521;3;ok
Ehrharta calycina Sm.;2702865;3;ok
Gymnocoronis spilanthoides DC.;6063677;3;ok
Humulus scandens (Lour.) Merr.;2984537;3;ok
Lepomis gibbosus (Linnaeus, 1758);2394486;3;ok
Lespedeza cuneata (Dum.Cours.) G.Don;8114276;3;ok
Lespedeza juncea var. sericea (Thunb.) Lace & Hauech;2955720;3;ok
Lygodium japonicum (Thunb.) Sw.;2650436;3;ok
Plotosus lineatus (Thunberg, 1787);7965247;3;ok
Prosopis juliflora (Sw.) DC.;5358460;3;ok
Salvinia adnata Desv.;5579439;3;ok
Salvinia auriculata Aubl.;5274861;3;ok
Salvinia molesta D.Mitch.;5274863;3;ok
Triadica sebifera Small;3054399;3;ok
Salvinia Seg.;7801597;3;td
Sapium sebiferum (L.) Roxb.;7748792;3;ok
Reynoutria bohemica J. Chrtek & A. Chrtkov√°;4038485;NA;anb
Crassula helmsii (Kirk) A. Berger;8035075;NA;anb
Procambarus virginalis Lyko, 2017;9442269;1;ok
Acer negundo L.;3189866;NA;td
Bison bison (Linnaeus, 1758);2441176;NA;td
Caprella mutica Schurin, 1935;5178057;NA;td
Cotoneaster acutifolius var. lucidus (Schltdl.) L. T. Lu;3026061;NA;td
Cotoneaster acutifolius var. villosulus Rehd. & E.H. Wilson;3025565;NA;td
Cotoneaster ambiguus Rehd. & E.H. Wilson;3025858;NA;td
Cotoneaster ascendens Flinck & B. Hylm√∂;3026024;NA;td
Cotoneaster √ósuecicus G. Klotz;3026040;NA;td
Cotoneaster √ówatereri Exell;3026004;NA;td
Cotoneaster bullatus Bois in Bilm. & Bois;3026294;NA;td
Cotoneaster bullatus var. floribundus (Stapf) L. T. Lu & A. R. Brach;3026295;NA;td
Cotoneaster bullatus var. macrophyllus Rehder & E. H. Wilson;3026161;NA;td
Cotoneaster conspicuus H. F. Comber ex C. Marquand;3025875;NA;td
Cotoneaster coriaceus Franch.;3026035;NA;td
Cotoneaster dammeri C.K. Schneid.;3026049;NA;td
Cotoneaster dielsianus E. Pritz.;3025896;NA;td
Cotoneaster divaricatus Rehd. & E.H. Wilson;3026334;NA;td
Cotoneaster fangianus T.T. Yu;3025932;NA;td
Cotoneaster franchetii Boiss.;3026162;NA;td
Cotoneaster hjelmqvistii K.E. Flinck & B. Hylm√∂;3026092;NA;td
Cotoneaster horizontalis Decne;3025617;NA;td
Cotoneaster integrifolius (Lindl.) Koehne;7671502;NA;td
Cotoneaster mairei;3025944;NA;td
Cotoneaster moupinensis Franch.;3025731;NA;td
Cotoneaster nanshan Mottet;3025935;NA;td
Cotoneaster qungbixiensis J.Fryer & B.Hylm√∂;3025907;NA;td
Cotoneaster salicifolius Franch.;3026074;NA;td
Cotoneaster salicifolius var. rugosus (E. Pritz.) Rehd. & E.H. Wilson;3026076;NA;td
Cotoneaster simonsii Baker;3026107;NA;td
Cotoneaster zabelii C.K. Schneid.;3025605;NA;td
Crepidula fornicata (Linnaeus, 1758);5192789;NA;td
Didemnum vexillum Romanov, 1989;2329770;NA;td
Euthamia graminifolia (L.) Nutt.;3092782;NA;td
Fraxinus pennsylvanica Marshall;3172348;NA;td
Gaillardia grandiflora Hort. ex Van Houtte;5387817;NA;td
Gunnera manicata Linden;8078925;NA;td
Homarus americanus H. Milne Edwards, 1837;5972004;NA;td
Hyacinthoides hispanica (Mill.) Rothm.;5304257;NA;td
Impatiens balfourii Hook. fil.;2891783;NA;td
Impatiens capensis Meerb.;2891774;NA;td
Impatiens edgeworthii Hook. fil.;4936345;NA;td
Lupinus polyphyllus Lindl.;2964355;NA;td
Lysichiton camtschatcensis (L.) Schott;2869301;NA;td
Micropterus dolomieu Lacep√®de, 1802;5211250;NA;td
Microstegium vimineum (Trin.) A.Camus;5289808;NA;td
Neovison vison (Schreber, 1777);2433652;NA;anb
Oenothera affinis Camb.;3188847;NA;td
Oenothera angustissima Gates;3188889;NA;td
Oenothera biennis L.;3188924;NA;td
Oenothera cambrica K. Rostanski;7322292;NA;td
Oenothera curtiflora W.L.Wagner & Hoch;3667406;NA;td
Oenothera deflexa Gates;7322773;NA;td
Oenothera elata Kunth;3188829;NA;td
Oenothera fallax Renner;7915783;NA;td
Oenothera fruticosa subsp. glauca (Michx.) Straley;8637919;NA;td
Oenothera glazioviana M. Micheli;3188894;NA;td
Oenothera indecora Camb.;7322393;NA;td
Oenothera issleri Renn. ex Rostanski;7322373;NA;td
Oenothera laciniata Hill;3188867;NA;td
Oenothera lindheimeri (Engelm. & A.Gray) W.L.Wagner & Hoch;3664589;NA;td
Oenothera nuda Renner ex Rostanski;3667628;NA;td
Oenothera oakesiana (A. Gray) S. Watson;3188884;NA;td
Oenothera oehlkersii A. Kappus;8153538;NA;td
Oenothera paradoxa Hudziok;3667238;NA;td
Oenothera parviflora L.;3188833;NA;td
Oenothera perangusta Gates;7322738;NA;td
Oenothera perennis L.;3188838;NA;td
Oenothera pycnocarpa Atkinson & Bartlett;3188926;NA;td
Oenothera rosea Aiton;3188875;NA;td
Oenothera royfraseri R.R.Gates;3665940;NA;td
Oenothera rubricaulis Klebahn;7322529;NA;td
Oenothera rubricauloides Rostanski;3665817;NA;td
Oenothera speciosa Nutt.;3188859;NA;td
Oenothera stricta Ledeb. ex Link;3188830;NA;td
Oenothera subterminalis R.R.Gates;3664677;NA;td
Oenothera victorinii Gates & Catcheside;7322143;NA;td
Oenothera wratislaviensis Rostanski;3667721;NA;td
Parthenocissus quinquefolia (L.) Planchon;3039194;NA;td
Parthenocissus tricuspidata (Siebold & Zucc.) Planchon;3039209;NA;td
Parthenocissus vitacea (Knerr) A.S. Hitchc.;3039193;NA;td
Pontederia cordata L.;2766030;NA;td
Procambarus acutus (Girard, 1852);2227289;NA;td
Rapana venosa (Valenciennes, 1846);4363583;NA;td
Sagittaria latifolia Willd.;5328909;NA;td
Sargassum muticum (Yendo) Fensholt, 1955;3197314;NA;td
Sarracenia purpurea L.;5421389;NA;td
Sicyos angulatus L.;2874655;NA;td
Solanum eleagnifolium;7299960;NA;td
Spartina pectinata Bosc ex Link;5290030;NA;td
Spartina townsendii H.Groves & J.Groves;5290034;NA;td
Spiraea √ópseudosalicifolia Silverside;3026444;NA;td
Spiraea salicifolia L.;3026454;NA;td
Spiraea tomentosa L.;3026819;NA;td
Symphyotrichum salignum (Willd.) G.L.Nesom;3151811;NA;td
Truellum perfoliatum (L.) Soj√°k;4037171;NA;td
Vallisneria spiralis L.;2865526;NA;td
Ameiurus melas (Rafinesque, 1820);2340977;NA;b4
Celastrus orbiculatus C.P. Thunberg ex A. Murray;8104460;NA;b4
Castor canadensis Kuhl, 1820;2439838;NA;b4
Ameiurus nebulosus (Lesueur, 1819);2340989;NA;new_b4
Axis axis (Erxleben, 1777);2440934;NA;new_b4
Boccardia proboscidea Hartman, 1940;2320810;NA;new_b4
Callosciurus finlaysonii (Horsfield, 1823);2437399;NA;new_b4
Channa argus (Cantor, 1842);4284921;NA;new_b4
Faxonius rusticus (Girard, 1852);8979506;NA;new_b4
Fundulus heteroclitus (Linnaeus, 1766);5712056;NA;new_b4
Gambusia affinis (Baird & Girard, 1853);2350580;NA;new_b4
Gambusia holbrooki Girard, 1859;2350570;NA;new_b4
Hakea sericea Schrad. & J.C.Wendl.;7287606;NA;new_b4
Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal;8848208;NA;new_b4
Lagocephalus sceleratus (Gmelin, 1789);2407758;NA;new_b4
Lampropeltis getula (Linnaeus, 1766);9799308;NA;new_b4
Limnoperna fortunei (Dunker, 1857);5855350;NA;new_b4
Morone americana (Gmelin, 1789);2394604;NA;new_b4
Perna viridis (Linnaeus, 1758);5729682;NA;new_b4
Phytolacca americana L.;3084015;NA;new_b4
Pistia stratiotes L.;2870583;NA;new_b4
Pterois miles (Bennett, 1828);2334433;NA;new_b4
Pycnonotus cafer (Linnaeus, 1766);2486131;NA;new_b4
Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009;5824863;NA;new_b4
Schizoporella japonica Ortmann, 1890;1010024;NA;new_b4
Solenopsis geminata (Fabricius, 1804);5035187;NA;new_b4
Solenopsis invicta Buren, 1972;5035230;NA;new_b4
Solenopsis richteri Forel, 1909;5035017;NA;new_b4
Wasmannia auropunctata (Roger, 1863);1315391;NA;new_b4
Xenopus laevis (Daudin, 1802);5217334;NA;new_b4
Fallopia japonica (Houtt.) Ronse Decr.;5334357;NA;new_anb
Reynoutria japonica Houtt.;2889173;NA;new_anb
Fallopia sachalinensis (F.Schmidt) Ronse Decr.;5334293;NA;new_anb
Reynoutria sachalinensis (F.Schmidt) Nakai;2889088;NA;new_anb
Branta canadensis (Linnaeus, 1758);5232437;NA;new_anb
Aedes koreicus (Edwards, 1917);1652150;NA;new_anb
Aedes albopictus (Skuse, 1894);1651430;NA;new_anb
Ambrosia artemisiifolia L.;8002952;NA;new_anb
