taxonKey	year	em_status	dr_1	dr_2	dr_3	dr_4	Groep	Species	Soort	Lijst	GBIF_scientific_name
1311477	2020	3	FALSE	TRUE	FALSE	TRUE	dier	Vespa velutina Lepeletier, 1836	Aziatische hoornaar (soort)	1	Vespa velutina Lepeletier, 1836
1651430	2020	1	FALSE	FALSE	FALSE	FALSE	dier	Aedes albopictus (Skuse, 1894)	Aziatische tijgermug	ANB	Aedes albopictus (Skuse, 1894)
2225776	2020	3	FALSE	TRUE	FALSE	TRUE	dier	Eriocheir sinensis H. Milne Edwards, 1854	Chinese wolhandkrab	1	Eriocheir sinensis H.Milne Edwards, 1853
2226990	2020	0	FALSE	FALSE	TRUE	FALSE	dier	Pacifastacus leniusculus Dana, 1852	Californische rivierkreeft	1	Pacifastacus leniusculus (Dana, 1852)
2227300	2020	3	FALSE	TRUE	FALSE	TRUE	dier	Procambarus clarkii Girard, 1852	rode rivierkreeft	1	Procambarus clarkii (Girard, 1852)
2340977	2020	0	TRUE	FALSE	TRUE	FALSE	dier	Ameiurus melas (Rafinesque, 1820)	zwarte dwergmeerval	4	Ameiurus melas (Rafinesque, 1820)
2362868	2020	1	FALSE	FALSE	FALSE	FALSE	dier	Pseudorasbora parva Temminck & Schlegel, 1846	blauwbandgrondel	1	Pseudorasbora parva (Temminck & Schlegel, 1846)
2394486	2020	2	FALSE	TRUE	FALSE	FALSE	dier	Lepomis gibbosus Linnaeus, 1758	zonnebaars	3	Lepomis gibbosus (Linnaeus, 1758)
2427091	2020	2	FALSE	TRUE	FALSE	FALSE	dier	Lithobates (Rana) catesbeianus Shaw, 1802	Amerikaanse stierkikker	1	Lithobates catesbeianus (Shaw, 1802)
2434552	2020	1	FALSE	FALSE	FALSE	FALSE	dier	Nyctereutes procyonoides Gray, 1834	wasbeerhond	2	Nyctereutes procyonoides (Gray, 1834)
2437394	2020	1	FALSE	FALSE	FALSE	FALSE	dier	Callosciurus erythraeus Pallas, 1779	Pallas' eekhoorn	1	Callosciurus erythraeus (Pallas, 1779)
2437450	2020	1	FALSE	FALSE	FALSE	FALSE	dier	Tamias sibiricus Laxmann, 1769	Siberische grondeekhoorn	1	Tamias sibiricus (Laxmann, 1769)
2440946	2020	3	FALSE	TRUE	FALSE	TRUE	dier	Muntiacus reevesi Ogilby, 1839	Chinese muntjak	1	Muntiacus reevesi (Ogilby, 1839)
2443002	2020	3	FALSE	TRUE	FALSE	TRUE	dier	Trachemys scripta Schoepff, 1792	lettersierschildpad	1	Trachemys scripta (Thunberg In Schoepff, 1792)
2480764	2020	1	FALSE	FALSE	FALSE	FALSE	dier	Threskiornis aethiopicus Latham, 1790	heilige ibis	1	Threskiornis aethiopicus (Latham, 1790)
2482499	2020	0	TRUE	FALSE	TRUE	FALSE	dier	Corvus splendens Viellot, 1817	huiskraai	1	Corvus splendens Vieillot, 1817
2486131	2020	0	TRUE	FALSE	TRUE	FALSE	dier	Pycnonotus cafer (Linnaeus, 1766)	Pycnonotus cafer	4	Pycnonotus cafer (Linnaeus, 1766)
2489005	2020	1	FALSE	FALSE	FALSE	FALSE	dier	Acridotheres tristis Linnaeus, 1766	treurmaina	3	Acridotheres tristis (Linnaeus, 1766)
2498252	2020	3	FALSE	TRUE	FALSE	TRUE	dier	Alopochen aegyptiacus Linnaeus, 1766	nijlgans	2	Alopochen aegyptiaca (Linnaeus, 1766)
2498305	2020	1	FALSE	FALSE	FALSE	FALSE	dier	Oxyura jamaicensis Gmelin, 1789	rosse stekelstaart	1	Oxyura jamaicensis (Gmelin, 1789)
2765940	2020	1	FALSE	FALSE	FALSE	FALSE	plant	Eichhornia crassipes (Martius) Solms	waterhyacint	1	Eichhornia crassipes (Mart.) Solms
2865565	2020	2	FALSE	TRUE	FALSE	FALSE	plant	Lagarosiphon major (Ridley) Moss	verspreidbladige waterpest	1	Lagarosiphon major (Ridl.) Moss
2869311	2020	2	FALSE	TRUE	FALSE	FALSE	plant	Lysichiton americanus Hultén & H. St. John	moerasaronskelk	1	Lysichiton americanus HultÃ©n & H.St.John
2870583	2020	2	FALSE	TRUE	FALSE	FALSE	plant	Pistia stratiotes L.	watersla	4	Pistia stratiotes L.
2882443	2020	3	FALSE	TRUE	FALSE	TRUE	plant	Cabomba caroliniana Gray	waterwaaier	1	Cabomba caroliniana A.Gray
2889088	2020	3	FALSE	TRUE	FALSE	TRUE	plant	Reynoutria sachalinensis (F.Schmidt) Nakai	invasieve duizendknopen	ANB	Reynoutria sachalinensis (F.Schmidt) Nakai
2889173	2020	3	FALSE	TRUE	FALSE	TRUE	plant	Reynoutria japonica Houtt.	invasieve duizendknopen	ANB	Reynoutria japonica Houtt.
2891770	2020	3	FALSE	TRUE	FALSE	TRUE	plant	Impatiens glandulifera Royle	reuzenbalsemien	2	Impatiens glandulifera Royle
2984306	2020	3	FALSE	TRUE	FALSE	TRUE	plant	Gunnera tinctoria (Molina) Mirbel	gewone gunnera	2	Gunnera tinctoria (Molina) Mirb.
3034825	2020	3	FALSE	TRUE	FALSE	TRUE	plant	Heracleum mantegazzianum Sommier & Levier	reuzenberenklauw	2	Heracleum mantegazzianum Sommier & Levier
3086784	2020	0	TRUE	FALSE	TRUE	FALSE	plant	Parthenium hysterophorus L.	schijnambrosia	1	Parthenium hysterophorus L.
3129663	2020	3	FALSE	TRUE	FALSE	TRUE	plant	Baccharis halimifolia L.	struikaster	1	Baccharis halimifolia L.
3169169	2020	0	FALSE	FALSE	TRUE	FALSE	plant	Celastrus orbiculatus Thunb.	Aziatische boomwurger	4	Celastrus orbiculatus Thunb.
3170247	2020	3	FALSE	TRUE	FALSE	TRUE	plant	Asclepias syriaca L.	zijdeplant	2	Asclepias syriaca L.
3190653	2020	2	FALSE	TRUE	FALSE	FALSE	plant	Ailanthus altissima (Mill.) Swingle	hemelboom	3	Ailanthus altissima (Mill.) Swingle
4038485	2020	2	FALSE	TRUE	FALSE	FALSE	plant	Reynoutria ×bohemica Chrtek & Chrtková	invasieve duizendknopen	ANB	Reynoutria Ã—bohemica Chrtek & ChrtkovÃ¡
4264680	2020	2	FALSE	TRUE	FALSE	FALSE	dier	Myocastor coypus Molina, 1782	beverrat	1	Myocastor coypus (Molina, 1782)
5218786	2020	2	FALSE	TRUE	FALSE	FALSE	dier	Procyon lotor L., 1758	wasbeer	1	Procyon lotor (Linnaeus, 1758)
5218823	2020	3	FALSE	TRUE	FALSE	TRUE	dier	Mustela vison Schreber, 1777	Amerikaanse nerts	ANB	Mustela vison Schreber, 1777
5219681	2020	1	FALSE	FALSE	FALSE	FALSE	dier	Sciurus carolinensis Gmelin, 1788	grijze eekhoorn	1	Sciurus carolinensis Gmelin, 1788
5219683	2020	1	FALSE	FALSE	FALSE	FALSE	dier	Sciurus niger L., 1758	Amerikaanse voseekhoorn	1	Sciurus niger Linnaeus, 1758
5219858	2020	1	FALSE	FALSE	FALSE	FALSE	dier	Ondatra zibethicus Linnaeus, 1766	muskusrat	2	Ondatra zibethicus (Linnaeus, 1766)
5232437	2020	3	FALSE	TRUE	FALSE	TRUE	dier	Branta canadensis (Linnaeus, 1758)	Canadese gans	ANB	Branta canadensis (Linnaeus, 1758)
5329212	2020	2	FALSE	TRUE	FALSE	FALSE	plant	Elodea nuttallii (Planch.) St. John	smalle waterpest	2	Elodea nuttallii (Planch.) H.St.John
5361762	2020	2	FALSE	TRUE	FALSE	FALSE	plant	Myriophyllum heterophyllum Michaux	ongelijkbladig vederkruid	2	Myriophyllum heterophyllum Michx.
5361785	2020	2	FALSE	TRUE	FALSE	FALSE	plant	Myriophyllum aquaticum (Vell.) Verdc.	parelvederkruid	1	Myriophyllum aquaticum (Vell.) Verdc.
5362054	2020	2	FALSE	TRUE	FALSE	FALSE	plant	Crassula helmsii (Kirk) Cockayne	watercrassula	ANB	Crassula helmsii (Kirk) Cockayne
5420991	2020	3	FALSE	TRUE	FALSE	TRUE	plant	Ludwigia peploides (Kunth) P.H. Raven	kleine waterteunisbloem	1	Ludwigia peploides (Kunth) P.H.Raven
5421039	2020	3	FALSE	TRUE	FALSE	TRUE	plant	Ludwigia grandiflora (Michx.) Greuter & Burdet	grote waterteunisbloem	1	Ludwigia grandiflora (Michx.) Greuter & Burdet
7978544	2020	1	FALSE	FALSE	FALSE	FALSE	plant	Hydrocotyle ranunculoides L. f.	grote waternavel	1	Hydrocotyle ranunculoides L.fil.
8002952	2020	3	FALSE	TRUE	FALSE	TRUE	plant	Ambrosia artemisiifolia L.	alsemambrosia	ANB	Ambrosia artemisiifolia L.
8848208	2020	3	FALSE	TRUE	FALSE	TRUE	plant	Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal	Afghaanse duizendknoop	4	Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal
8909595	2020	2	FALSE	TRUE	FALSE	FALSE	dier	Faxonius limosus Rafinesque, 1817	gevlekte rivierkreeft	1	Faxonius limosus (Rafinesque, 1817)
9442269	2020	3	FALSE	TRUE	FALSE	TRUE	dier	Procambarus virginalis Lyko, 2017	marmerkreeft	1	Procambarus virginalis Lyko, 2017
9799308	2020	0	TRUE	FALSE	TRUE	FALSE	dier	Lampropeltis getula (Linnaeus, 1766)	gewone koningsslang	4	Lampropeltis getula (Linnaeus, 1766)
